feature,mutual_information
linear_fit_slope_sigma,0.008016374010073601
linear_trend_sigma,0.005664101425998269
period_0,0.002783546034989093
period_2,0.0016262886437260482
period_1,0.0015849187505734275
linear_trend,0.0012701901402428772
beyond_2_std,0.0011683559134024746
linear_fit_slope,0.0011285010397845685
period_s_to_n_2,0.0010390801054377397
period_s_to_n_1,0.0008238195588274877
beyond_1_std,0.0007565065112384861
magnitude_percentage_ratio_40_5,0.0006815723095446868
amplitude,0.0006589467978007635
median_absolute_deviation,0.0006259536270378785
median_buffer_range_percentage_10,0.0005491977939149351
roms,0.0005141650944047171
otsu_std_lower,0.0005088418162322306
otsu_lower_to_all_ratio,0.0005047334043106755
periodogram_inter_percentile_range_25,0.0004996795414482502
periodogram_standard_deviation,0.0004918198776355798
periodogram_percent_amplitude,0.00048742845338878293
magnitude_percentage_ratio_20_10,0.0004811169085476852
periodogram_amplitude,0.0004788124149893713
percent_amplitude,0.00045205577947715625
eta,0.0004037599398466485
inter_percentile_range_25,0.0003828845317974672
chi2,0.00037220807967819347
otsu_mean_diff,0.00035521370004010233
standard_deviation,0.00035475346745994507
percent_difference_magnitude_percentile_20,0.0003372183100580628
otsu_std_upper,0.0003308155918093636
weighted_mean,0.00032915198661920275
periodogram_beyond_1_std,0.0003262371114919338
period_s_to_n_0,0.00031914648117814526
mean_variance,0.0003065006027893613
kurtosis,0.00029961605191497487
linear_trend_noise,0.0002887121340544585
excess_variance,0.0002783849061352983
maximum_slope,0.0002746094703423019
periodogram_eta,0.00024205306887803424
inter_percentile_range_10,0.00023787444996903329
eta_e,0.00022777075684610182
periodogram_beyond_2_std,0.00021613321505598027
linear_fit_reduced_chi2,0.00015669198989676225
percent_difference_magnitude_percentile_5,0.00014589242924456514
cusum,0.00013572053260624273
anderson_darling_normal,9.738554745597483e-05
stetson_K,9.435729123186132e-05
skew,9.367777559499135e-05
mean,0.0
median,0.0
periodogram_cusum,0.0
